ticker,date,total_liabilities
AAAU,2021-06-30,"54,890"
AAAU,2021-03-31,"50,100"
AAAU,2020-12-31,"45,210"
AAAU,2020-09-30,"72,980"
AAAU,2020-06-30,"50,180"
AAAU,2020-03-31,"32,230"
AAAU,2019-12-31,"26,400"
AAAU,2019-09-30,"24,070"
AAAU,2019-06-30,"18,610"
AAAU,2019-03-31,"16,110"
AAAU,2018-12-31,"12,690"
