ticker,date,total_current_assets,total_current_liabilities,other_intangible_assets_excluding_goodwill,goodwill,total_assets,short_term_debt,total_liabilities
AACG,2020-12-31,18530000,42120000,16940000,29840000,88210000,1042000,50240000
AACG,2019-12-31,26360000,38030000,19470000,28790000,97110000,716900,46760000
AACG,2018-12-31,31030000,2871000,2490000,,48740000,,2871000
AACG,2017-12-31,56370000,21780000,3947000,4919000,87360000,,25670000
AACG,2017-03-31,42990000,14960000,1645000,4725000,75520000,501100,18500000
AACG,2016-03-31,49650000,11530000,116400,4809000,72960000,,11820000
AACG,2015-03-31,50480000,12280000,152200,5002000,73430000,,12570000
AACG,2014-03-31,64030000,12410000,288400,4988000,79020000,,12760000
